Dataset,DTW,TSF,RISE,BOSS,BOSS-E,catch22,Shapelet,Teaser,SVC,LSTM-FCN,Rocket,Hive-Cote 2,Motion Code,MoE
ECGFiveDays,54.47,58.07,59.35,50.06,58.42,52.85,52.61,Error,49.71,53.54,56.79,55.75,66.55,66.47
FreezerSmallTrain,52.42,54.28,53.79,50.0,50.95,53.58,50.0,50.11,50,50.0,52.67,58.18,70.25,70.54
HouseTwenty,57.98,57.14,42.02,52.1,57.98,45.38,57.14,53.78,45.38,57.98,58.82,59.66,70.59,76.19
InsectEPGRegularTrain,100.0,100.0,83.13,99.2,91.97,95.98,44.58,100,85.94,100.0,46.18,100.0,100.0,100.00
ItalyPowerDemand,57.05,68.71,65.79,52.77,53.26,55.88,62.49,63.17,49.85,61.61,70.36,72.98,72.5,75.19
Lightning7,21.92,28.77,26.03,12.33,28.77,24.66,20.55,21.92,26.03,17.81,27.4,32.88,31.51,28.31
MoteStrain,56.47,61.1,61.5,53.83,53.51,57.19,47.76,Error,50.64,56.55,68.85,56.95,72.68,72.74
PowerCons,78.33,92.22,85.56,65.56,77.22,80.0,74.44,51.11,77.78,68.33,87.22,90.0,92.78,92.78
